atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;1;Combustión en la producción y transformación de energía;NH3;t;3,59
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;2;Plantas de combustión no industrial;NH3;t;51,55
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;3;Plantas de combustión industrial;NH3;t;163,41
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;4;Procesos industriales sin combustión;NH3;t;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;5;Extracción y distribución de combustibles fósiles y energía geotérmica;NH3;t;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;6;Uso de disolventes y otros productos;NH3;t;56,6
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;7;Transporte por carretera;NH3;t;507,83
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;8;Otros modos de transporte y maquinaria móvil;NH3;t;0,49
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;9;Tratamiento y eliminación de residuos;NH3;t;506,29
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;10;Agricultura;NH3;t;3468,35
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;11;Otras fuentes y sumideros (naturaleza);NH3;t;18,27
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;1;Combustión en la producción y transformación de energía;SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;2;Plantas de combustión no industrial;SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;3;Plantas de combustión industrial;SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;4;Procesos industriales sin combustión;SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;5;Extracción y distribución de combustibles fósiles y energía geotérmica;SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;6;Uso de disolventes y otros productos;SF6;t CO2eq;25862,27
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;7;Transporte por carretera;SF6;t CO2eq;0
2021;Acidificadores, precursores de ozono y gases de efecto invernadero;8;Otros modos de transporte y maquinaria móvil;SF6;t CO2eq;0
